support,itemsets
0.06,"P0003, P0047"
0.06,"P0003, P0049"
0.08,"P0051, P0003"
0.06,"P0003, P0065"
0.1,"P0003, P0070"
0.06,"P0003, P0079"
0.06,"P0088, P0003"
0.06,"P0094, P0003"
0.06,"P0004, P0006"
0.06,"P0010, P0004"
0.1,"P0004, P0011"
0.08,"P0004, P0013"
0.06,"P0004, P0022"
0.06,"P0004, P0025"
0.06,"P0030, P0004"
0.06,"P0034, P0004"
0.06,"P0004, P0036"
0.06,"P0004, P0039"
0.08,"P0044, P0004"
0.06,"P0049, P0004"
0.06,"P0051, P0004"
0.06,"P0055, P0004"
0.06,"P0056, P0004"
0.06,"P0004, P0065"
0.06,"P0004, P0066"
0.1,"P0070, P0004"
0.06,"P0004, P0082"
0.06,"P0094, P0004"
0.06,"P0006, P0005"
0.06,"P0009, P0005"
0.06,"P0026, P0005"
0.06,"P0052, P0005"
0.06,"P0059, P0005"
0.06,"P0070, P0005"
0.08,"P0071, P0005"
0.06,"P0077, P0005"
0.08,"P0086, P0005"
0.06,"P0006, P0011"
0.06,"P0015, P0006"
0.06,"P0006, P0021"
0.06,"P0026, P0006"
0.06,"P0031, P0006"
0.06,"P0006, P0037"
0.06,"P0043, P0006"
0.08,"P0049, P0006"
0.08,"P0050, P0006"
0.06,"P0052, P0006"
0.06,"P0054, P0006"
0.06,"P0065, P0006"
0.06,"P0070, P0006"
0.06,"P0077, P0006"
0.08,"P0093, P0006"
0.06,"P0012, P0007"
0.06,"P0020, P0007"
0.06,"P0007, P0021"
0.06,"P0040, P0007"
0.06,"P0050, P0007"
0.06,"P0063, P0007"
0.08,"P0070, P0007"
0.06,"P0015, P0008"
0.06,"P0008, P0020"
0.06,"P0023, P0008"
0.06,"P0043, P0008"
0.06,"P0051, P0008"
0.06,"P0008, P0070"
0.08,"P0008, P0071"
0.08,"P0008, P0077"
0.06,"P0008, P0087"
0.06,"P0088, P0008"
0.06,"P0012, P0009"
0.06,"P0009, P0021"
0.06,"P0028, P0009"
0.06,"P0036, P0009"
0.06,"P0038, P0009"
0.08,"P0055, P0009"
0.06,"P0064, P0009"
0.06,"P0066, P0009"
0.06,"P0070, P0009"
0.06,"P0071, P0009"
0.08,"P0079, P0009"
0.08,"P0050, P0010"
0.06,"P0010, P0070"
0.06,"P0013, P0011"
0.06,"P0019, P0011"
0.06,"P0024, P0011"
0.08,"P0030, P0011"
0.06,"P0043, P0011"
0.06,"P0044, P0011"
0.06,"P0049, P0011"
0.06,"P0050, P0011"
0.06,"P0052, P0011"
0.06,"P0068, P0011"
0.08,"P0070, P0011"
0.1,"P0077, P0011"
0.06,"P0080, P0011"
0.06,"P0082, P0011"
0.06,"P0098, P0011"
0.06,"P0028, P0012"
0.06,"P0050, P0012"
0.06,"P0070, P0012"
0.06,"P0014, P0013"
0.08,"P0044, P0013"
0.06,"P0064, P0013"
0.1,"P0079, P0013"
0.06,"P0088, P0013"
0.06,"P0014, P0040"
0.06,"P0014, P0044"
0.06,"P0048, P0014"
0.06,"P0014, P0070"
0.06,"P0078, P0014"
0.06,"P0014, P0083"
0.06,"P0014, P0088"
0.06,"P0015, P0016"
0.08,"P0015, P0022"
0.1,"P0015, P0039"
0.08,"P0051, P0015"
0.06,"P0064, P0015"
0.1,"P0015, P0070"
0.06,"P0038, P0016"
0.06,"P0039, P0016"
0.06,"P0050, P0016"
0.08,"P0051, P0016"
0.08,"P0070, P0016"
0.06,"P0091, P0016"
0.06,"P0017, P0093"
0.06,"P0070, P0018"
0.06,"P0094, P0018"
0.06,"P0019, P0026"
0.06,"P0030, P0019"
0.08,"P0019, P0043"
0.06,"P0019, P0044"
0.08,"P0019, P0065"
0.08,"P0019, P0070"
0.06,"P0019, P0094"
0.06,"P0050, P0020"
0.08,"P0054, P0020"
0.06,"P0033, P0021"
0.06,"P0054, P0021"
0.06,"P0059, P0021"
0.06,"P0060, P0021"
0.06,"P0064, P0021"
0.06,"P0070, P0021"
0.06,"P0071, P0021"
0.06,"P0087, P0021"
0.06,"P0097, P0021"
0.06,"P0036, P0022"
0.06,"P0039, P0022"
0.06,"P0051, P0022"
0.06,"P0064, P0022"
0.08,"P0070, P0022"
0.06,"P0079, P0022"
0.06,"P0030, P0023"
0.06,"P0041, P0023"
0.06,"P0023, P0046"
0.06,"P0023, P0053"
0.06,"P0023, P0065"
0.06,"P0023, P0071"
0.06,"P0078, P0023"
0.06,"P0023, P0079"
0.06,"P0023, P0087"
0.06,"P0023, P0089"
0.06,"P0043, P0024"
0.06,"P0049, P0024"
0.08,"P0051, P0024"
0.08,"P0064, P0024"
0.1,"P0070, P0024"
0.06,"P0079, P0024"
0.06,"P0030, P0026"
0.08,"P0043, P0026"
0.06,"P0049, P0026"
0.06,"P0053, P0026"
0.06,"P0070, P0026"
0.06,"P0094, P0026"
0.08,"P0028, P0060"
0.06,"P0064, P0028"
0.06,"P0028, P0070"
0.06,"P0028, P0079"
0.06,"P0030, P0029"
0.06,"P0033, P0029"
0.06,"P0029, P0060"
0.06,"P0029, P0065"
0.08,"P0070, P0029"
0.06,"P0029, P0077"
0.06,"P0029, P0089"
0.06,"P0030, P0033"
0.06,"P0030, P0043"
0.06,"P0030, P0044"
0.06,"P0030, P0051"
0.08,"P0030, P0054"
0.08,"P0030, P0055"
0.06,"P0030, P0060"
0.06,"P0030, P0062"
0.06,"P0030, P0064"
0.06,"P0030, P0065"
0.08,"P0030, P0070"
0.06,"P0030, P0071"
0.08,"P0030, P0073"
0.06,"P0030, P0077"
0.06,"P0030, P0078"
0.06,"P0030, P0082"
0.08,"P0030, P0088"
0.06,"P0030, P0094"
0.08,"P0065, P0031"
0.06,"P0070, P0031"
0.06,"P0089, P0031"
0.06,"P0032, P0046"
0.06,"P0051, P0032"
0.06,"P0032, P0070"
0.06,"P0033, P0044"
0.06,"P0033, P0051"
0.06,"P0033, P0052"
0.06,"P0033, P0054"
0.06,"P0033, P0062"
0.06,"P0033, P0064"
0.1,"P0033, P0070"
0.08,"P0034, P0043"
0.06,"P0034, P0056"
0.06,"P0063, P0034"
0.06,"P0034, P0071"
0.06,"P0034, P0089"
0.06,"P0036, P0035"
0.06,"P0077, P0035"
0.06,"P0055, P0036"
0.08,"P0064, P0036"
0.06,"P0051, P0037"
0.06,"P0038, P0051"
0.06,"P0038, P0064"
0.06,"P0038, P0070"
0.06,"P0038, P0079"
0.08,"P0051, P0039"
0.08,"P0070, P0039"
0.06,"P0040, P0070"
0.06,"P0088, P0040"
0.06,"P0040, P0089"
0.06,"P0041, P0070"
0.1,"P0042, P0070"
0.06,"P0043, P0049"
0.06,"P0043, P0052"
0.06,"P0064, P0043"
0.06,"P0043, P0065"
0.06,"P0068, P0043"
0.08,"P0043, P0070"
0.06,"P0043, P0077"
0.06,"P0088, P0043"
0.14,"P0043, P0089"
0.06,"P0094, P0043"
0.06,"P0099, P0043"
0.06,"P0050, P0044"
0.06,"P0054, P0044"
0.06,"P0055, P0044"
0.06,"P0056, P0044"
0.06,"P0064, P0044"
0.06,"P0044, P0065"
0.06,"P0044, P0066"
0.06,"P0044, P0073"
0.06,"P0075, P0044"
0.1,"P0044, P0079"
0.08,"P0088, P0044"
0.08,"P0094, P0044"
0.06,"P0044, P0097"
0.06,"P0098, P0044"
0.06,"P0070, P0045"
0.06,"P0053, P0046"
0.06,"P0070, P0046"
0.06,"P0070, P0047"
0.06,"P0088, P0047"
0.08,"P0048, P0070"
0.06,"P0048, P0078"
0.06,"P0048, P0082"
0.06,"P0050, P0049"
0.06,"P0051, P0049"
0.08,"P0049, P0052"
0.06,"P0054, P0049"
0.06,"P0063, P0049"
0.1,"P0049, P0070"
0.06,"P0049, P0077"
0.06,"P0049, P0089"
0.06,"P0091, P0049"
0.06,"P0094, P0049"
0.08,"P0050, P0051"
0.06,"P0050, P0052"
0.06,"P0050, P0054"
0.08,"P0050, P0070"
0.06,"P0050, P0077"
0.06,"P0050, P0091"
0.06,"P0050, P0093"
0.06,"P0050, P0095"
0.06,"P0050, P0099"
0.06,"P0051, P0052"
0.08,"P0051, P0054"
0.06,"P0051, P0064"
0.14,"P0051, P0070"
0.08,"P0051, P0077"
0.06,"P0051, P0088"
0.08,"P0091, P0051"
0.06,"P0051, P0093"
0.06,"P0051, P0095"
0.08,"P0052, P0070"
0.06,"P0052, P0077"
0.06,"P0052, P0083"
0.06,"P0085, P0052"
0.06,"P0086, P0052"
0.06,"P0099, P0052"
0.06,"P0053, P0070"
0.06,"P0053, P0077"
0.06,"P0055, P0054"
0.06,"P0054, P0064"
0.06,"P0054, P0071"
0.06,"P0054, P0093"
0.06,"P0054, P0095"
0.06,"P0086, P0055"
0.06,"P0056, P0065"
0.06,"P0056, P0069"
0.08,"P0056, P0089"
0.06,"P0059, P0071"
0.06,"P0059, P0077"
0.06,"P0087, P0059"
0.06,"P0064, P0060"
0.06,"P0060, P0065"
0.06,"P0066, P0060"
0.06,"P0070, P0060"
0.08,"P0060, P0073"
0.06,"P0079, P0060"
0.08,"P0088, P0060"
0.08,"P0060, P0089"
0.06,"P0062, P0070"
0.06,"P0088, P0062"
0.06,"P0063, P0070"
0.06,"P0063, P0077"
0.06,"P0063, P0082"
0.06,"P0063, P0087"
0.06,"P0098, P0063"
0.06,"P0064, P0065"
0.08,"P0064, P0070"
0.1,"P0064, P0079"
0.08,"P0088, P0064"
0.08,"P0070, P0065"
0.06,"P0075, P0065"
0.1,"P0065, P0076"
0.06,"P0079, P0065"
0.06,"P0088, P0065"
0.1,"P0089, P0065"
0.08,"P0093, P0065"
0.06,"P0094, P0065"
0.06,"P0097, P0065"
0.06,"P0066, P0079"
0.06,"P0066, P0089"
0.06,"P0094, P0066"
0.06,"P0068, P0070"
0.06,"P0068, P0077"
0.1,"P0070, P0077"
0.08,"P0070, P0079"
0.06,"P0080, P0070"
0.06,"P0070, P0083"
0.08,"P0087, P0070"
0.06,"P0088, P0070"
0.06,"P0070, P0089"
0.06,"P0091, P0070"
0.06,"P0094, P0070"
0.06,"P0099, P0070"
0.06,"P0077, P0071"
0.06,"P0071, P0079"
0.06,"P0072, P0076"
0.06,"P0072, P0088"
0.06,"P0073, P0076"
0.08,"P0088, P0073"
0.06,"P0094, P0073"
0.06,"P0075, P0079"
0.06,"P0075, P0094"
0.08,"P0088, P0076"
0.06,"P0077, P0081"
0.06,"P0077, P0083"
0.06,"P0086, P0077"
0.06,"P0087, P0077"
0.06,"P0077, P0090"
0.06,"P0098, P0077"
0.06,"P0099, P0077"
0.06,"P0078, P0082"
0.06,"P0099, P0078"
0.06,"P0088, P0079"
0.08,"P0094, P0079"
0.06,"P0087, P0081"
0.06,"P0086, P0083"
0.06,"P0088, P0083"
0.06,"P0098, P0083"
0.08,"P0099, P0083"
0.06,"P0085, P0093"
0.06,"P0088, P0097"
0.08,"P0098, P0088"
0.08,"P0099, P0088"
0.06,"P0093, P0089"
0.06,"P0099, P0089"
0.06,"P0091, P0095"
0.06,"P0094, P0093"
0.08,"P0098, P0099"
0.06,"P0023, P0000, P0071"
0.06,"P0001, P0049, P0070"
0.06,"P0051, P0054, P0002"
0.06,"P0003, P0070, P0026"
0.06,"P0003, P0070, P0047"
0.06,"P0051, P0003, P0070"
0.06,"P0004, P0013, P0011"
0.06,"P0030, P0004, P0011"
0.06,"P0044, P0004, P0065"
0.06,"P0094, P0044, P0004"
0.06,"P0051, P0004, P0070"
0.06,"P0071, P0009, P0005"
0.06,"P0059, P0071, P0005"
0.06,"P0050, P0006, P0011"
0.06,"P0006, P0052, P0011"
0.06,"P0050, P0052, P0006"
0.06,"P0070, P0012, P0007"
0.06,"P0040, P0070, P0007"
0.06,"P0051, P0015, P0008"
0.06,"P0023, P0008, P0087"
0.06,"P0055, P0036, P0009"
0.06,"P0070, P0024, P0011"
0.06,"P0050, P0052, P0011"
0.06,"P0064, P0044, P0013"
0.08,"P0044, P0079, P0013"
0.06,"P0088, P0044, P0013"
0.06,"P0064, P0079, P0013"
0.06,"P0088, P0064, P0013"
0.06,"P0088, P0079, P0013"
0.06,"P0048, P0070, P0014"
0.06,"P0015, P0070, P0016"
0.06,"P0015, P0039, P0022"
0.08,"P0015, P0070, P0022"
0.06,"P0051, P0015, P0039"
0.08,"P0015, P0070, P0039"
0.06,"P0051, P0015, P0070"
0.06,"P0051, P0039, P0016"
0.06,"P0019, P0043, P0070"
0.06,"P0019, P0070, P0065"
0.06,"P0094, P0019, P0070"
0.06,"P0070, P0039, P0022"
0.06,"P0023, P0089, P0065"
0.06,"P0051, P0070, P0024"
0.06,"P0064, P0070, P0024"
0.06,"P0064, P0079, P0024"
0.06,"P0094, P0049, P0026"
0.06,"P0033, P0029, P0070"
0.06,"P0030, P0055, P0044"
0.06,"P0031, P0089, P0065"
0.06,"P0051, P0032, P0070"
0.06,"P0033, P0052, P0070"
0.06,"P0038, P0064, P0079"
0.06,"P0051, P0070, P0039"
0.06,"P0043, P0089, P0065"
0.06,"P0064, P0044, P0079"
0.06,"P0088, P0064, P0044"
0.06,"P0088, P0044, P0079"
0.06,"P0094, P0044, P0079"
0.06,"P0048, P0082, P0078"
0.06,"P0051, P0049, P0070"
0.06,"P0050, P0051, P0054"
0.06,"P0051, P0054, P0093"
0.08,"P0051, P0077, P0070"
0.06,"P0086, P0052, P0083"
0.06,"P0070, P0053, P0077"
0.06,"P0079, P0066, P0060"
0.06,"P0060, P0088, P0073"
0.06,"P0088, P0064, P0079"
0.06,"P0099, P0088, P0070"
0.06,"P0072, P0088, P0076"
0.06,"P0075, P0094, P0079"
0.06,"P0098, P0088, P0083"
0.06,"P0099, P0088, P0083"
0.06,"P0098, P0099, P0083"
0.06,"P0098, P0099, P0088"
0.06,"P0050, P0006, P0052, P0011"
0.06,"P0064, P0079, P0044, P0013"
0.06,"P0088, P0064, P0044, P0013"
0.06,"P0088, P0079, P0044, P0013"
0.06,"P0088, P0064, P0079, P0013"
0.06,"P0015, P0070, P0039, P0022"
0.06,"P0051, P0015, P0070, P0039"
0.06,"P0088, P0064, P0044, P0079"
0.06,"P0098, P0099, P0088, P0083"
0.06,"P0088, P0044, P0079, P0013, P0064"
